SetTemp 	  MeasuredTemp 	 hourDiff 	 minuteDiff 	 Output 
20	20	2	45	20
20	20	0	15	20
20	20	0	5	20
20	20	0	13	20
17	20	0	36	20
17	20	1	3	20
17	20	1	3	20
20	20	0	15	20
20	20	0	6	20
20	20	0	21	20
16	20	0	22	20
16	20	0	54	20
16	20	1	40	19
16	19	2	22	18
16	18	2	59	18
16	18	2	54	18
16	18	3	24	17
16	17	0	17	17
20	17	0	0	17
22	17	0	14	18
22	18	0	4	18
22	18	0	6	18
22	18	0	6	19
22	19	0	7	20
22	20	0	6	20
22	20	0	8	20
22	20	0	11	21
22	21	0	8	22
22	22	0	2	22
17	22	0	0	22
20	22	0	1	22
20	22	0	1	22
20	22	0	12	22
20	22	0	11	21
20	21	0	10	20
20	20	0	19	20
20	20	0	8	20
22	20	0	16	20
22	20	0	5	21
22	21	0	4	21
17	21	0	0	21
20	21	0	1	22
20	22	0	7	22
17	22	0	21	21
17	21	0	14	20
17	20	0	33	20
17	20	1	42	20
17	20	1	16	19
17	19	1	56	18
17	18	1	12	18
20	18	0	15	19
20	19	0	4	20
20	20	0	4	20
20	20	0	5	20
20	20	0	6	20
17	20	0	18	20
17	20	0	14	20
17	20	0	20	20
22	20	0	16	20
22	20	0	4	20
22	20	0	6	21
22	21	0	7	22
22	22	0	5	22
22	22	0	31	22
22	22	0	17	22
22	22	0	43	22
22	22	0	16	22
22	22	0	6	22
22	22	0	27	22
22	22	0	14	22
17	22	0	1	22
17	22	0	18	21
17	21	0	35	20
17	20	0	47	20
17	20	0	58	20
17	20	1	16	19
17	19	1	16	18
17	18	1	26	18
20	18	0	18	19
20	19	0	6	20
20	20	0	5	20
20	20	0	37	20
20	20	0	17	20
20	20	0	8	20
20	20	0	23	20
20	20	0	20	20
20	20	0	16	20
20	20	0	10	20
20	20	0	22	20
20	20	0	24	20
20	20	0	16	20
20	20	0	11	20
20	20	0	22	20
20	20	0	19	20
22	20	0	1	20
22	20	0	12	20
22	20	0	5	20
22	20	0	4	21
22	21	0	5	22
22	22	0	7	22
22	22	0	29	22
22	22	0	18	22
22	22	0	32	22
22	22	0	17	22
22	22	0	33	22
22	22	0	16	22
22	22	0	50	22
22	22	0	16	22
22	22	0	8	22
22	22	0	20	22
22	22	0	15	22
22	22	0	15	22
22	22	0	29	22
22	22	0	15	22
22	22	0	11	22
22	22	0	20	22
22	22	0	24	22
22	22	0	15	22
22	22	0	44	22
22	22	0	15	22
22	22	0	7	22
22	22	0	26	22
22	22	0	16	22
22	22	0	14	22
22	22	0	9	22
22	22	0	27	22
22	22	0	30	22
22	22	0	0	22
17	22	0	11	21
17	21	0	8	21
16	21	0	59	20
16	20	1	1	20
16	20	1	21	20
16	20	1	51	19
16	19	1	56	18
16	18	2	39	18
16	18	3	32	18
16	18	2	57	17
16	17	2	54	16
16	16	3	55	16
16	16	4	29	16
16	16	0	21	16
16	16	0	24	16
16	16	1	7	16
16	16	1	53	16
16	16	0	15	16
16	16	2	28	16
16	16	0	16	16
16	16	0	5	16
16	16	0	43	16
16	16	1	13	16
16	16	0	17	16
16	16	0	5	16
16	16	0	45	16
16	16	4	48	16
16	16	0	16	16
16	16	0	5	16
16	16	1	51	16
16	16	0	3	16
16	16	0	16	16
16	16	0	6	16
16	16	0	38	16
16	16	1	9	16
16	16	0	17	16
16	16	0	5	16
16	16	0	38	16
16	16	0	20	16
5	16	0	0	16
16	16	0	30	16
16	16	0	16	16
